2.54218e+00, { 1.1e-03 } ,7.93593e+04, { 7.6e+01 } ,5.07474e+05, { 3.0e+02 } ,4.30458e+05, { 2.5e+02 } ,5.35507e+05, { 8.6e+02 } ,8.48237e-01, { 7.1e-04 } ,1.05524e+00, { 1.8e-03 } ,1.24404e+00, { 2.1e-03 } ,3.12667e+02, { 2.3e-01 } ,2.96299e+02, { 4.9e-01 } ,3.68608e+02, { 2.7e-01 } ,1.84360e-01, { 2.1e-04 } ,'Sample Name' run on 22 September 2022 at 10:27, Raw data stored in - C:\Nu Noble\Instrument Settings\Data_12882.RUN
2.49868e+00, { 1.4e-03 } ,7.86859e+04, { 8.3e+01 } ,5.00984e+05, { 3.8e+02 } ,4.27727e+05, { 3.0e+02 } ,5.26492e+05, { 8.7e+02 } ,8.53773e-01, { 8.9e-04 } ,1.05092e+00, { 1.9e-03 } ,1.23091e+00, { 2.2e-03 } ,3.11298e+02, { 3.0e-01 } ,2.96216e+02, { 5.2e-01 } ,3.64614e+02, { 3.3e-01 } ,1.83963e-01, { 2.3e-04 } ,'Sample Name' run on 22 September 2022 at 11:09, Raw data stored in - C:\Nu Noble\Instrument Settings\Data_12883.RUN
2.53042e+00, { 1.4e-03 } ,7.93923e+04, { 8.2e+01 } ,5.06433e+05, { 3.2e+02 } ,4.31544e+05, { 2.6e+02 } ,5.34383e+05, { 7.9e+02 } ,8.52125e-01, { 7.5e-04 } ,1.05519e+00, { 1.7e-03 } ,1.23831e+00, { 2.0e-03 } ,3.11860e+02, { 2.6e-01 } ,2.95548e+02, { 4.6e-01 } ,3.65979e+02, { 3.0e-01 } ,1.83973e-01, { 2.2e-04 } ,'Sample Name' run on 26 September 2022 at 10:19, Raw data stored in - C:\Nu Noble\Instrument Settings\Data_12907.RUN
2.44425e+00, { 1.1e-03 } ,7.77437e+04, { 9.9e+01 } ,4.92146e+05, { 2.8e+02 } ,4.21164e+05, { 3.0e+02 } ,5.13650e+05, { 8.1e+02 } ,8.55770e-01, { 7.8e-04 } ,1.04370e+00, { 1.8e-03 } ,1.21960e+00, { 2.1e-03 } ,3.09985e+02, { 2.3e-01 } ,2.97007e+02, { 4.9e-01 } ,3.62229e+02, { 3.1e-01 } ,1.84593e-01, { 2.7e-04 } ,'Sample Name' run on 26 September 2022 at 10:40, Raw data stored in - C:\Nu Noble\Instrument Settings\Data_12908.RUN
2.43871e+00, { 1.4e-03 } ,7.61105e+04, { 7.3e+01 } ,4.86296e+05, { 3.2e+02 } ,4.13793e+05, { 3.4e+02 } ,5.13983e+05, { 8.2e+02 } ,8.50907e-01, { 8.9e-04 } ,1.05694e+00, { 1.8e-03 } ,1.24213e+00, { 2.2e-03 } ,3.13003e+02, { 2.7e-01 } ,2.96142e+02, { 5.0e-01 } ,3.67846e+02, { 3.7e-01 } ,1.83934e-01, { 2.3e-04 } ,'Sample Name' run on 03 October 2022 at 11:32, Raw data stored in - C:\Nu Noble\Instrument Settings\Data_12942.RUN
2.40134e+00, { 1.3e-03 } ,7.58193e+04, { 8.8e+01 } ,4.81897e+05, { 3.2e+02 } ,4.11923e+05, { 3.0e+02 } ,5.05020e+05, { 7.5e+02 } ,8.54794e-01, { 8.4e-04 } ,1.04798e+00, { 1.7e-03 } ,1.22600e+00, { 2.0e-03 } ,3.11020e+02, { 2.7e-01 } ,2.96780e+02, { 4.7e-01 } ,3.63854e+02, { 3.3e-01 } ,1.84062e-01, { 2.5e-04 } ,'Sample Name' run on 03 October 2022 at 12:15, Raw data stored in - C:\Nu Noble\Instrument Settings\Data_12943.RUN
2.47494e+00, { 1.5e-03 } ,7.53147e+04, { 8.2e+01 } ,4.89413e+05, { 3.7e+02 } ,4.10009e+05, { 3.1e+02 } ,5.20486e+05, { 7.8e+02 } ,8.37756e-01, { 8.9e-04 } ,1.06349e+00, { 1.8e-03 } ,1.26945e+00, { 2.1e-03 } ,3.15631e+02, { 3.1e-01 } ,2.96787e+02, { 4.8e-01 } ,3.76757e+02, { 3.7e-01 } ,1.83690e-01, { 2.4e-04 } ,'Sample Name' run on 17 October 2022 at 11:26, Raw data stored in - C:\Nu Noble\Instrument Settings\Data_12984.RUN
2.59864e+00, { 1.4e-03 } ,8.01789e+04, { 9.7e+01 } ,5.17703e+05, { 3.3e+02 } ,4.35632e+05, { 3.7e+02 } ,5.49487e+05, { 8.2e+02 } ,8.41472e-01, { 8.9e-04 } ,1.06139e+00, { 1.7e-03 } ,1.26135e+00, { 2.2e-03 } ,3.13296e+02, { 2.6e-01 } ,2.95174e+02, { 4.7e-01 } ,3.72319e+02, { 3.7e-01 } ,1.84052e-01, { 2.7e-04 } ,'Sample Name' run on 17 October 2022 at 12:17, Raw data stored in - C:\Nu Noble\Instrument Settings\Data_12985.RUN
2.49406e+00, { 1.1e-03 } ,7.51192e+04, { 8.0e+01 } ,4.89795e+05, { 3.0e+02 } ,4.10303e+05, { 2.6e+02 } ,5.25076e+05, { 8.0e+02 } ,8.37702e-01, { 7.5e-04 } ,1.07203e+00, { 1.8e-03 } ,1.27973e+00, { 2.1e-03 } ,3.17820e+02, { 2.4e-01 } ,2.96465e+02, { 4.7e-01 } ,3.79395e+02, { 3.0e-01 } ,1.83082e-01, { 2.3e-04 } ,'Sample Name' run on 02 November 2022 at 17:29, Raw data stored in - C:\Nu Noble\Instrument Settings\Data_13029.RUN
2.48376e+00, { 1.6e-03 } ,7.58330e+04, { 8.0e+01 } ,4.90444e+05, { 3.7e+02 } ,4.12223e+05, { 3.0e+02 } ,5.23426e+05, { 8.3e+02 } ,8.40510e-01, { 8.7e-04 } ,1.06725e+00, { 1.9e-03 } ,1.26976e+00, { 2.2e-03 } ,3.16089e+02, { 3.1e-01 } ,2.96172e+02, { 5.1e-01 } ,3.76068e+02, { 3.6e-01 } ,1.83961e-01, { 2.4e-04 } ,'Sample Name' run on 02 November 2022 at 17:50, Raw data stored in - C:\Nu Noble\Instrument Settings\Data_13030.RUN
2.46314e+00, { 1.2e-03 } ,7.52652e+04, { 8.7e+01 } ,4.84737e+05, { 2.7e+02 } ,4.08146e+05, { 3.6e+02 } ,5.18324e+05, { 7.8e+02 } ,8.41995e-01, { 8.7e-04 } ,1.06929e+00, { 1.7e-03 } ,1.26995e+00, { 2.2e-03 } ,3.17156e+02, { 2.4e-01 } ,2.96604e+02, { 4.7e-01 } ,3.76672e+02, { 3.8e-01 } ,1.84407e-01, { 2.7e-04 } ,'Sample Name' run on 14 November 2022 at 12:58, Raw data stored in - C:\Nu Noble\Instrument Settings\Data_13041.RUN
